time;prec;;;;;;;;;;;;;
31/10/2006;null;;;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
30/11/2006;159,2;;;;;2007;1035;654,5866667;380,4133333;1055,085714;400,4990476;0,949848285;2,849544854;muito chuvoso
31/12/2006;101,2;;;;;2008;1216,2;654,5866667;561,6133333;1055,085714;400,4990476;1,402283817;4,206851452;extremamente chuvoso
31/01/2007;210,8;;;;;2009;752,2;654,5866667;97,61333333;1055,085714;400,4990476;0,243729252;0,731187756;chuvoso
28/02/2007;236,8;;;;;2010;903,6;654,5866667;249,0133333;1055,085714;400,4990476;0,621757617;1,86527285;chuvoso
31/03/2007;15;;;;;2011;678,8;654,5866667;24,21333333;1055,085714;400,4990476;0,060457905;0,181373715;chuvoso
30/04/2007;63,8;;;;;2012;1138,8;654,5866667;484,2133333;1055,085714;400,4990476;1,209024931;3,627074792;muito chuvoso
31/05/2007;71,4;;;;;2013;376,8;654,5866667;-277,7866667;1055,085714;400,4990476;-0,693601316;-2,080803949;muito seco
30/06/2007;0,4;;;;;2014;1205;654,5866667;550,4133333;1055,085714;400,4990476;1,374318707;4,122956121;extremamente chuvoso
31/07/2007;16,4;;;;;2015;1134,8;654,5866667;480,2133333;1055,085714;400,4990476;1,199037391;3,597112174;muito chuvoso
31/08/2007;33,2;;;;dados faltantes ;2016;29,6;654,5866667;-624,9866667;1055,085714;400,4990476;-1,560519733;-4,681559198;extremamente seco
30/09/2007;0;;;;dados faltantes ;2017;90,2;654,5866667;-564,3866667;1055,085714;400,4990476;-1,409208511;-4,227625534;extremamente seco
31/10/2007;102;;;;;2018;950;654,5866667;295,4133333;1055,085714;400,4990476;0,737613073;2,21283922;muito chuvoso
30/11/2007;176,8;;;;;2019;307,8;654,5866667;-346,7866667;1055,085714;400,4990476;-0,86588637;-2,597659111;muito seco
31/12/2007;108,4;;;;dados faltantes ;2020;0;654,5866667;-654,5866667;1055,085714;400,4990476;-1,634427524;-4,903282571;extremamente seco
31/01/2008;225,4;;;;dados faltantes ;2021;0;654,5866667;-654,5866667;1055,085714;400,4990476;-1,634427524;-4,903282571;extremamente seco
29/02/2008;231;;;;;;;;;;0;;;
31/03/2008;154,2;;;;;;;;;;0;;;
30/04/2008;67,4;;;;;;;;;;;;;
31/05/2008;66;;;;;;;;;;;;;
30/06/2008;27,2;;;;;;;;;;;;;
31/07/2008;24,8;;;;;;;;;;;;;
31/08/2008;51,6;;;;;;;;;;;;;
30/09/2008;40,4;;;;;;;;;;;;;
31/10/2008;100,6;;;;;;;;;;;;;
30/11/2008;157,4;;;;;;;;;;;;;
31/12/2008;70,2;;;;;;;;;;;;;
31/01/2009;78,2;;;;;;;;;;;;;
28/02/2009;126,2;;;;;;;;;;;;;
31/03/2009;50,2;;;;;;;;;;;;;
30/04/2009;1,6;;;;;;;;;;;;;
31/05/2009;61,8;;;;;;;;;;;;;
30/06/2009;22,2;;;;;;;;;;;;;
31/07/2009;98,4;;;;;;;;;;;;;
31/08/2009;21,6;;;;;;;;;;;;;
30/09/2009;15,6;;;;;;;;;;;;;
31/10/2009;43,2;;;;;;;;;;;;;
30/11/2009;67,2;;;;;;;;;;;;;
31/12/2009;166;;;;;;;;;;;;;
31/01/2010;216,2;;;;;;;;;;;;;
28/02/2010;162,2;;;;;;;;;;;;;
31/03/2010;76,4;;;;;;;;;;;;;
30/04/2010;29;;;;;;;;;;;;;
31/05/2010;160,2;;;;;;;;;;;;;
30/06/2010;4,2;;;;;;;;;;;;;
31/07/2010;null;;;;;;;;;;;;;
31/08/2010;0,4;;;;;;;;;;;;;
30/09/2010;31,8;;;;;;;;;;;;;
31/10/2010;61,8;;;;;;;;;;;;;
30/11/2010;161,4;;;;;;;;;;;;;
31/12/2010;null;;;;;;;;;;;;;
31/01/2011;null;;;;;;;;;;;;;
28/02/2011;null;;;;;;;;;;;;;
31/03/2011;152,6;;;;;;;;;;;;;
30/04/2011;126,4;;;;;;;;;;;;;
31/05/2011;19,6;;;;;;;;;;;;;
30/06/2011;8,8;;;;;;;;;;;;;
31/07/2011;28,2;;;;;;;;;;;;;
31/08/2011;27,2;;;;;;;;;;;;;
30/09/2011;89,8;;;;;;;;;;;;;
31/10/2011;100;;;;;;;;;;;;;
30/11/2011;59,2;;;;;;;;;;;;;
31/12/2011;67;;;;;;;;;;;;;
31/01/2012;160,8;;;;;;;;;;;;;
29/02/2012;213,4;;;;;;;;;;;;;
31/03/2012;106,2;;;;;;;;;;;;;
30/04/2012;199,6;;;;;;;;;;;;;
31/05/2012;120,4;;;;;;;;;;;;;
30/06/2012;null;;;;;;;;;;;;;
31/07/2012;null;;;;;;;;;;;;;
31/08/2012;2;;;;;;;;;;;;;
30/09/2012;29;;;;;;;;;;;;;
31/10/2012;57;;;;;;;;;;;;;
30/11/2012;151,8;;;;;;;;;;;;;
31/12/2012;98,6;;;;;;;;;;;;;
31/01/2013;58,2;;;;;;;;;;;;;
28/02/2013;170,4;;;;;;;;;;;;;
31/03/2013;139;;;;;;;;;;;;;
30/04/2013;null;;;;;;;;;;;;;
31/05/2013;null;;;;;;;;;;;;;
30/06/2013;null;;;;;;;;;;;;;
31/07/2013;null;;;;;;;;;;;;;
31/08/2013;0;;;;;;;;;;;;;
30/09/2013;9,2;;;;;;;;;;;;;
31/10/2013;null;;;;;;;;;;;;;
30/11/2013;null;;;;;;;;;;;;;
31/12/2013;null;;;;;;;;;;;;;
31/01/2014;null;;;;;;;;;;;;;
28/02/2014;null;;;;;;;;;;;;;
31/03/2014;218,4;;;;;;;;;;;;;
30/04/2014;43,8;;;;;;;;;;;;;
31/05/2014;299,4;;;;;;;;;;;;;
30/06/2014;172;;;;;;;;;;;;;
31/07/2014;97,2;;;;;;;;;;;;;
31/08/2014;32,2;;;;;;;;;;;;;
30/09/2014;56,8;;;;;;;;;;;;;
31/10/2014;27,4;;;;;;;;;;;;;
30/11/2014;210,4;;;;;;;;;;;;;
31/12/2014;47,4;;;;;;;;;;;;;
31/01/2015;147,6;;;;;;;;;;;;;
28/02/2015;102,4;;;;;;;;;;;;;
31/03/2015;35,8;;;;;;;;;;;;;
30/04/2015;249,6;;;;;;;;;;;;;
31/05/2015;158,2;;;;;;;;;;;;;
30/06/2015;null;;;;;;;;;;;;;
31/07/2015;null;;;;;;;;;;;;;
31/08/2015;28;;;;;;;;;;;;;
30/09/2015;94,4;;;;;;;;;;;;;
31/10/2015;90,2;;;;;;;;;;;;;
30/11/2015;228,6;;;;;;;;;;;;;
31/12/2015;null;;;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;;;
31/03/2016;25,4;;;;;;;;;;;;;
30/04/2016;null;;;;;;;;;;;;;
31/05/2016;null;;;;;;;;;;;;;
30/06/2016;null;;;;;;;;;;;;;
31/07/2016;3,4;;;;;;;;;;;;;
31/08/2016;null;;;;;;;;;;;;;
30/09/2016;0,8;;;;;;;;;;;;;
31/10/2016;null;;;;;;;;;;;;;
30/11/2016;null;;;;;;;;;;;;;
31/12/2016;null;;;;;;;;;;;;;
31/01/2017;null;;;;;;;;;;;;;
28/02/2017;null;;;;;;;;;;;;;
31/03/2017;null;;;;;;;;;;;;;
30/04/2017;null;;;;;;;;;;;;;
31/05/2017;null;;;;;;;;;;;;;
30/06/2017;null;;;;;;;;;;;;;
31/07/2017;1;;;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;;;
30/09/2017;null;;;;;;;;;;;;;
31/10/2017;null;;;;;;;;;;;;;
30/11/2017;89,2;;;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;;;
31/03/2018;null;;;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;;;
31/05/2018;150,4;;;;;;;;;;;;;
30/06/2018;101,4;;;;;;;;;;;;;
31/07/2018;2,4;;;;;;;;;;;;;
31/08/2018;23,2;;;;;;;;;;;;;
30/09/2018;103,6;;;;;;;;;;;;;
31/10/2018;199,2;;;;;;;;;;;;;
30/11/2018;264,2;;;;;;;;;;;;;
31/12/2018;105,6;;;;;;;;;;;;;
31/01/2019;26,6;;;;;;;;;;;;;
28/02/2019;null;;;;;;;;;;;;;
31/03/2019;null;;;;;;;;;;;;;
30/04/2019;98,6;;;;;;;;;;;;;
31/05/2019;125,8;;;;;;;;;;;;;
30/06/2019;21,6;;;;;;;;;;;;;
31/07/2019;35,2;;;;;;;;;;;;;
31/08/2019;null;;;;;;;;;;;;;
30/09/2019;null;;;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;;;
