time;prec;;;;;;;;;;;
31/12/2006;null;;;time;n;n_barr;n-n_barr;m_barr;m_barr - n_barr;n-n_barr/m_barr - n_barr;*3;
31/01/2007;320;;;2007;912,8;756,0666667;156,7333333;1057,371429;301,3047619;0,520182065;1,560546196;chuvoso
28/02/2007;208,6;;;2008;807,4;756,0666667;51,33333333;;301,3047619;0,170370136;0,511110409;chuvoso
31/03/2007;null;;;2009;608,2;756,0666667;-147,8666667;;301,3047619;-0,490754496;-1,472263489;seco
30/04/2007;null;;;2010;468;756,0666667;-288,0666667;;301,3047619;-0,956064102;-2,868192306;muito seco
31/05/2007;null;;;2011;756,2;756,0666667;0,133333333;;301,3047619;0,00044252;0,00132756;chuvoso
30/06/2007;null;;;2012;630,6;756,0666667;-125,4666667;;301,3047619;-0,416411164;-1,249233492;muito seco
31/07/2007;null;;;2013;975,6;756,0666667;219,5333333;;301,3047619;0,728608907;2,185826722;muito chuvoso
31/08/2007;11,2;;;2014;1468,2;756,0666667;712,1333333;;301,3047619;2,363498435;7,090495306;extremamente chuvoso
30/09/2007;0,4;;;2015;1342,8;756,0666667;586,7333333;;301,3047619;1,947308531;5,841925593;extremamente chuvoso
31/10/2007;106;;;2016;669;756,0666667;-87,06666667;;301,3047619;-0,288965452;-0,866896356;seco
30/11/2007;183,2;;;2017;960,6;756,0666667;204,5333333;;301,3047619;0,678825426;2,036476278;chuvoso
31/12/2007;83,4;;;2018;858,6;756,0666667;102,5333333;;301,3047619;0,340297753;1,020893258;chuvoso
31/01/2008;181;;;2019;883;756,0666667;126,9333333;;301,3047619;0,421278882;1,263836647;chuvoso
29/02/2008;297,4;;dados faltantes;2020;0;756,0666667;-756,0666667;;301,3047619;-2,509308721;-7,527926162;extremamente seco
31/03/2008;132;;dados faltantes;2021;0;756,0666667;-756,0666667;;301,3047619;-2,509308721;-7,527926162;extremamente seco
30/04/2008;104,8;;;;;;;;;;;
31/05/2008;null;;;;;;;;;;;
30/06/2008;null;;;;;;;;;;;
31/07/2008;8;;;;;;;;;;;
31/08/2008;null;;;;;;;;;;;
30/09/2008;16,2;;;;;;;;;;;
31/10/2008;14,8;;;;;;;;;;;
30/11/2008;null;;;;;;;;;;;
31/12/2008;53,2;;;;;;;;;;;
31/01/2009;118,6;;;;;;;;;;;
28/02/2009;21,2;;;;;;;;;;;
31/03/2009;61;;;;;;;;;;;
30/04/2009;22,6;;;;;;;;;;;
31/05/2009;45,2;;;;;;;;;;;
30/06/2009;null;;;;;;;;;;;
31/07/2009;null;;;;;;;;;;;
31/08/2009;null;;;;;;;;;;;
30/09/2009;35,8;;;;;;;;;;;
31/10/2009;106;;;;;;;;;;;
30/11/2009;89;;;;;;;;;;;
31/12/2009;108,8;;;;;;;;;;;
31/01/2010;200;;;;;;;;;;;
28/02/2010;36,8;;;;;;;;;;;
31/03/2010;30,8;;;;;;;;;;;
30/04/2010;2;;;;;;;;;;;
31/05/2010;1,2;;;;;;;;;;;
30/06/2010;1;;;;;;;;;;;
31/07/2010;null;;;;;;;;;;;
31/08/2010;0;;;;;;;;;;;
30/09/2010;null;;;;;;;;;;;
31/10/2010;null;;;;;;;;;;;
30/11/2010;110,4;;;;;;;;;;;
31/12/2010;85,8;;;;;;;;;;;
31/01/2011;137,6;;;;;;;;;;;
28/02/2011;168,2;;;;;;;;;;;
31/03/2011;null;;;;;;;;;;;
30/04/2011;146,6;;;;;;;;;;;
31/05/2011;8,2;;;;;;;;;;;
30/06/2011;16,8;;;;;;;;;;;
31/07/2011;4,4;;;;;;;;;;;
31/08/2011;13,2;;;;;;;;;;;
30/09/2011;57;;;;;;;;;;;
31/10/2011;72;;;;;;;;;;;
30/11/2011;132,2;;;;;;;;;;;
31/12/2011;null;;;;;;;;;;;
31/01/2012;null;;;;;;;;;;;
29/02/2012;null;;;;;;;;;;;
31/03/2012;66,6;;;;;;;;;;;
30/04/2012;null;;;;;;;;;;;
31/05/2012;null;;;;;;;;;;;
30/06/2012;69;;;;;;;;;;;
31/07/2012;20,6;;;;;;;;;;;
31/08/2012;0,4;;;;;;;;;;;
30/09/2012;44,6;;;;;;;;;;;
31/10/2012;124,4;;;;;;;;;;;
30/11/2012;223;;;;;;;;;;;
31/12/2012;82;;;;;;;;;;;
31/01/2013;95;;;;;;;;;;;
28/02/2013;205,6;;;;;;;;;;;
31/03/2013;85,6;;;;;;;;;;;
30/04/2013;179,8;;;;;;;;;;;
31/05/2013;null;;;;;;;;;;;
30/06/2013;106,8;;;;;;;;;;;
31/07/2013;30,8;;;;;;;;;;;
31/08/2013;1,8;;;;;;;;;;;
30/09/2013;44,4;;;;;;;;;;;
31/10/2013;69,4;;;;;;;;;;;
30/11/2013;70,8;;;;;;;;;;;
31/12/2013;85,6;;;;;;;;;;;
31/01/2014;264,2;;;;;;;;;;;
28/02/2014;101,6;;;;;;;;;;;
31/03/2014;184;;;;;;;;;;;
30/04/2014;38;;;;;;;;;;;
31/05/2014;135,4;;;;;;;;;;;
30/06/2014;50;;;;;;;;;;;
31/07/2014;135,2;;;;;;;;;;;
31/08/2014;11,4;;;;;;;;;;;
30/09/2014;121,8;;;;;;;;;;;
31/10/2014;37,8;;;;;;;;;;;
30/11/2014;209,4;;;;;;;;;;;
31/12/2014;179,4;;;;;;;;;;;
31/01/2015;87,8;;;;;;;;;;;
28/02/2015;122,2;;;;;;;;;;;
31/03/2015;59,8;;;;;;;;;;;
30/04/2015;101;;;;;;;;;;;
31/05/2015;103;;;;;;;;;;;
30/06/2015;41,6;;;;;;;;;;;
31/07/2015;86,6;;;;;;;;;;;
31/08/2015;7,4;;;;;;;;;;;
30/09/2015;163,4;;;;;;;;;;;
31/10/2015;175,8;;;;;;;;;;;
30/11/2015;145;;;;;;;;;;;
31/12/2015;249,2;;;;;;;;;;;
31/01/2016;null;;;;;;;;;;;
29/02/2016;null;;;;;;;;;;;
31/03/2016;null;;;;;;;;;;;
30/04/2016;null;;;;;;;;;;;
31/05/2016;115,6;;;;;;;;;;;
30/06/2016;46;;;;;;;;;;;
31/07/2016;33,6;;;;;;;;;;;
31/08/2016;84,2;;;;;;;;;;;
30/09/2016;34;;;;;;;;;;;
31/10/2016;113,8;;;;;;;;;;;
30/11/2016;37,6;;;;;;;;;;;
31/12/2016;204,2;;;;;;;;;;;
31/01/2017;179,4;;;;;;;;;;;
28/02/2017;185;;;;;;;;;;;
31/03/2017;87;;;;;;;;;;;
30/04/2017;188,6;;;;;;;;;;;
31/05/2017;105,6;;;;;;;;;;;
30/06/2017;69,8;;;;;;;;;;;
31/07/2017;null;;;;;;;;;;;
31/08/2017;null;;;;;;;;;;;
30/09/2017;22;;;;;;;;;;;
31/10/2017;123,2;;;;;;;;;;;
30/11/2017;null;;;;;;;;;;;
31/12/2017;null;;;;;;;;;;;
31/01/2018;null;;;;;;;;;;;
28/02/2018;null;;;;;;;;;;;
31/03/2018;95;;;;;;;;;;;
30/04/2018;null;;;;;;;;;;;
31/05/2018;52,4;;;;;;;;;;;
30/06/2018;11,4;;;;;;;;;;;
31/07/2018;0;;;;;;;;;;;
31/08/2018;61,6;;;;;;;;;;;
30/09/2018;157,8;;;;;;;;;;;
31/10/2018;255;;;;;;;;;;;
30/11/2018;138,8;;;;;;;;;;;
31/12/2018;86,6;;;;;;;;;;;
31/01/2019;223,6;;;;;;;;;;;
28/02/2019;250,8;;;;;;;;;;;
31/03/2019;186,6;;;;;;;;;;;
30/04/2019;44;;;;;;;;;;;
31/05/2019;81,2;;;;;;;;;;;
30/06/2019;10,4;;;;;;;;;;;
31/07/2019;66,4;;;;;;;;;;;
31/08/2019;2,6;;;;;;;;;;;
30/09/2019;17,4;;;;;;;;;;;
31/10/2019;null;;;;;;;;;;;
30/11/2019;null;;;;;;;;;;;
31/12/2019;null;;;;;;;;;;;
31/01/2020;null;;;;;;;;;;;
29/02/2020;null;;;;;;;;;;;
31/03/2020;null;;;;;;;;;;;
30/04/2020;null;;;;;;;;;;;
31/05/2020;null;;;;;;;;;;;
30/06/2020;null;;;;;;;;;;;
31/07/2020;null;;;;;;;;;;;
31/08/2020;null;;;;;;;;;;;
30/09/2020;null;;;;;;;;;;;
31/10/2020;null;;;;;;;;;;;
30/11/2020;null;;;;;;;;;;;
31/12/2020;null;;;;;;;;;;;
31/01/2021;null;;;;;;;;;;;
28/02/2021;null;;;;;;;;;;;
31/03/2021;null;;;;;;;;;;;
30/04/2021;null;;;;;;;;;;;
31/05/2021;null;;;;;;;;;;;
30/06/2021;null;;;;;;;;;;;
31/07/2021;null;;;;;;;;;;;
31/08/2021;null;;;;;;;;;;;
30/09/2021;null;;;;;;;;;;;
31/10/2021;null;;;;;;;;;;;
30/11/2021;null;;;;;;;;;;;
31/12/2021;null;;;;;;;;;;;
